S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
668,UTTAR PRADESH,KAUSHAMBI,846,178001,0,178001,31767,6728,2241,9949,752,317,51754,51754,5175,46578,4723,1,33058,37782,81,4996,9936,0,0,46578,0,46578,0
669,UTTAR PRADESH,KUSHI NAGAR,1112,287378,0,287378,54405,39647,61688,23067,875,,179683,179683,15957,163726,8968,71,75094,84133,51,9455,79106,0,0,163726,0,163726,0
670,UTTAR PRADESH,LAKHIMPUR KHERI,1130,655505,0,655505,143274,42161,4804,38092,3468,,231799,231799,16077,215722,12696,1088,117770,131554,61,13690,83175,0,0,215722,0,215722,0
671,UTTAR PRADESH,LALITPUR,910,381942,121981,503923,16695,1949,13004,8299,913,84,40944,40944,3146,37798,3589,6,27786,31382,83,3776,6229,0,0,37798,0,37798,0
672,UTTAR PRADESH,LUCKNOW,880,244196,0,244196,35706,22897,4932,8963,962,52,75967,75967,5504,70463,13005,1403,33585,47993,68,13873,23956,0,0,70463,0,70463,0
673,UTTAR PRADESH,MAHOBA,810,229341,0,229341,9016,9106,5577,6144,394,1790,32028,32028,3203,28825,1186,1,24407,25594,89,1403,3389,0,0,28825,0,28825,0
674,UTTAR PRADESH,MAHRAJGANJ,1389,247760,0,247760,62946,18098,7240,16607,573,,105464,105464,7560,97904,7360,23,55403,62786,64,8359,34119,0,0,97904,0,97904,0
675,UTTAR PRADESH,MAINPURI,660,276072,0,276072,37592,22298,16686,16515,1080,105,94277,94277,9428,84849,5108,14,56524,61646,73,6162,23487,0,0,84849,0,84849,0
676,UTTAR PRADESH,MATHURA,557,336078,0,336078,34914,36893,40840,23235,302,178,136362,136362,11369,124993,6714,1159,80797,88670,71,7537,35500,0,0,124993,0,124993,0
677,UTTAR PRADESH,MAUNATH BHANJAN,897,171624,0,171624,31228,7108,3421,6898,2103,,50759,50759,4801,45958,6640,4,23109,29753,65,7034,15811,0,0,45958,0,45958,0
678,UTTAR PRADESH,MEERUT,857,281049,0,281049,47294,16954,8611,14105,437,71,87473,87473,7051,80422,9729,1550,52163,63442,79,9993,18822,0,0,80422,0,80422,0
679,UTTAR PRADESH,MIRZAPUR,973,295437,156648,452085,26499,4108,21100,7981,16,1914,61618,61618,5866,55752,7034,93,28018,35145,63,7750,19891,0,0,55752,0,55752,0
680,UTTAR PRADESH,MORADABAD,903,224944,0,224944,41956,9176,3746,12988,2052,183,71151,71151,7115,64036,10462,967,43841,55271,86,11318,11740,0,0,64036,0,64036,0
681,UTTAR PRADESH,MUZAFFARNAGAR,869,275666,0,275666,46557,29654,14035,19908,343,24,110520,110520,8576,101944,6856,2655,71716,81226,80,7243,21626,0,0,101944,0,101944,0
682,UTTAR PRADESH,PILIBHIT,1201,336959,0,336959,64276,14759,6760,19041,1498,,106333,106333,7820,98513,5581,407,55434,61422,62,6056,36616,0,0,98513,0,98513,0
683,UTTAR PRADESH,PRATAPGARH,838,371743,0,371743,65653,32294,16389,27247,952,1028,143562,143562,13114,130448,8449,6,91157,99612,76,8885,30401,0,0,130448,0,130448,0
684,UTTAR PRADESH,PRAYAGRAJ,843,499630,47370,547000,73512,16630,30637,19624,2061,112,142827,142827,13709,129119,17554,1649,75537,94740,73,21863,33198,0,0,129119,0,129119,0
685,UTTAR PRADESH,RAIBARELI,748,392458,0,392458,58606,23445,23637,18531,2056,329,126603,126603,10152,116451,7353,70,61824,69246,59,9592,44966,0,0,116451,0,116451,0
686,UTTAR PRADESH,RAMPUR,1052,229790,0,229790,50713,18744,168,13130,545,50,83350,83350,8045,75305,5368,543,47199,53110,71,5579,21984,0,0,75305,0,75305,0
687,UTTAR PRADESH,SAHARANPUR,1103,368941,0,368941,85462,15261,8543,34117,379,5,143766,143766,8917,134850,7484,1531,121361,130376,97,7921,21012,0,0,134850,0,134850,0
688,UTTAR PRADESH,SAMBHAL,785,241520,0,241520,38807,412,42,7806,748,131,47946,47946,3349,44597,5953,2113,30510,38576,87,8028,4254,0,0,44597,0,44597,0
689,UTTAR PRADESH,SANT KABIR NAGAR,1254,164699,0,164699,43464,1505,601,7454,1052,,54076,54076,5408,48669,4464,160,24848,29471,61,5676,17986,0,0,48669,0,48669,0
690,UTTAR PRADESH,SANT RAVIDAS NAGAR,950,98305,3195,101500,19509,51072,1762,13935,913,531,87722,87722,8474,79248,3566,214,55345,59125,75,4235,19455,0,0,79248,0,79248,0
691,UTTAR PRADESH,SHAHJAHANPUR,898,458131,0,458131,90823,15238,1368,22643,2255,16,132344,132344,11208,121135,8696,1633,64734,75063,62,9328,45440,0,0,121135,0,121135,0
692,UTTAR PRADESH,SHAMLI,869,136126,0,136126,24853,11199,1136,10278,197,24,47686,47686,3754,43932,3050,129,40977,44156,101,3154,944,0,0,43932,0,43932,0
693,UTTAR PRADESH,SHRAWASTI,1185,185782,0,185782,46239,1912,0,9811,649,1134,59745,59745,5975,53771,3383,0,28031,31414,58,3632,22107,0,0,53771,0,53771,0
694,UTTAR PRADESH,SIDDHARTH NAGAR,1159,289503,0,289503,69426,6129,5333,14405,578,,95871,95871,8252,87619,7658,1,48319,55978,64,8561,30738,0,0,87619,0,87619,0
695,UTTAR PRADESH,SITAPUR,991,574695,0,574695,99403,68888,3491,34825,2253,,208860,208860,17370,191490,11680,562,98958,111200,58,12815,79156,0,0,191490,0,191490,0
696,UTTAR PRADESH,SONBHADRA,973,241459,439499,680958,15318,2275,23815,6551,339,11713,60010,60010,5782,54228,4485,386,21820,26691,49,6110,25913,0,0,54228,0,54228,0
697,UTTAR PRADESH,SULTANPUR,888,265381,0,265381,49607,21874,6309,15473,1900,34,95197,95197,9120,86077,6365,0,47227,53591,62,7899,30951,0,0,86077,0,86077,0
698,UTTAR PRADESH,UNNAO,766,460234,0,460234,68309,63366,15100,27308,2954,20,177056,177056,16109,160947,8939,723,89165,98827,61,11868,59190,0,0,160947,0,160947,0
699,UTTAR PRADESH,VARANASI,926,160532,0,160532,29442,12646,0,8084,319,1274,52819,52819,5282,47537,10780,254,31392,42426,89,11286,7750,0,0,47537,0,47537,0
700,UTTARAKHAND,DEHRADUN,2184,140842,46651,187493,53918,625,81,2052,0,0,56677,56677,5668,51009,8007,712,11712,20431,40,9418,29167,0,0,51009,0,51009,0
701,UTTARAKHAND,HARIDWAR,1020,159432,69877,229310,31939,7865,494,6863,0,182,47343,47343,3920,43423,2550,3592,22360,28502,66,8478,12706,0,0,43423,0,43423,0
702,UTTARAKHAND,NAINITAL,1711,62524,174023,236547,21747,2215,2166,2756,0,17,28901,28901,2890,26011,4004,2041,8060,14105,54,5038,10872,0,0,26011,0,26011,0
703,UTTARAKHAND,UDHAMSINGH NAGAR,1465,267066,0,267066,60593,6181,2740,9949,0,129,79592,79592,4835,74756,3227,6613,32367,42207,56,9388,26389,0,0,74756,0,74756,0
704,WEST BENGAL,ALIPURDUAR,3468,237597,0,237597,124234,0,161,4215,474,,129084,129084,12908,116176,3451,164,9366,12981,11,4764,101882,2809857,0,2926033,0,2926033,0
705,WEST BENGAL,BANKURA,1331,688001,0,688001,115432,1753,8342,22215,12316,637,160694,160694,13658,147037,8799,404,50235,59438,40,10248,87496,802948,0,949984,0,949984,0
706,WEST BENGAL,BIRBHUM,1393,454809,0,454809,88167,1434,1554,9976,11332,25,112488,112488,9394,103094,8633,1329,24502,34464,33,10812,66452,430676,0,533771,0,533771,0
707,WEST BENGAL,DAKSHIN DINAJPUR,1585,224036,0,224036,78790,0,2923,25492,6034,29,113267,113267,11097,102170,3962,193,58068,62223,61,4547,39363,583588,0,685758,0,685758,0
708,WEST BENGAL,DARJILING,3119,108472,114759,223231,41440,51,587,0,280,5,42363,42363,4236,38127,558,632,2133,3323,9,923,34439,646177,0,684304,0,684304,0
709,WEST BENGAL,HAORA,1600,132355,0,132355,20670,60,476,515,1180,4,22904,22904,1714,21190,2702,409,1248,4359,21,4616,15585,175754,0,196944,0,196944,0
710,WEST BENGAL,HUGLI,1476,300371,0,300371,96666,427,3548,20394,7364,58,128457,128457,12051,116406,10589,1945,50176,62711,54,13252,51510,881428,0,997834,0,997834,0
711,WEST BENGAL,JALPAIGURI,3468,340219,0,340219,181004,164,530,5715,945,20,188378,188378,18838,169541,6535,1118,12701,20354,12,18365,137357,4966984,0,5136525,0,5136525,0
712,WEST BENGAL,JHARGRAM,1536,302060,0,302060,88214,622,2660,9177,1418,98,102188,102188,8034,94155,2851,326,20430,23607,25,3326,70072,429355,0,523510,0,523510,0
713,WEST BENGAL,KALIMPONG,3119,21071,84289,105360,3715,0,288,0,0,3,4005,4005,400,3604,63,2,0,65,2,64,3538,114209,0,117813,0,117813,0
714,WEST BENGAL,KOCH BIHAR,3284,339637,0,339637,166580,0,484,35558,4540,40,207202,207202,20720,186482,7044,102,79019,86165,46,8709,98652,5210566,0,5397047,0,5397047,0
715,WEST BENGAL,KOLKATTA,1624,18700,0,18700,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,WEST BENGAL,MALDA,1450,323886,0,323886,94427,0,2842,12491,8055,28,117843,117843,11042,106802,8031,332,27806,36168,34,12131,66533,1888410,0,1995212,0,1995212,0
717,WEST BENGAL,MURSHIDABAD,1433,513338,0,513338,143218,354,1495,38224,12039,112,195442,195442,14471,180970,14343,433,90905,105680,58,202365,69073,1279952,0,1460922,0,1460922,0
718,WEST BENGAL,NADIA,1444,391270,0,391270,125289,0,1424,60948,7015,236,194912,194912,18418,176494,8761,477,135236,144474,82,12020,28761,2554579,0,2731073,0,2731073,0
719,WEST BENGAL,NORTH 24 PARGANAS,1624,387233,0,387233,94917,0,432,37535,18530,18,151432,151432,12448,138985,11940,2214,83556,97710,70,17216,39553,1347177,0,1486162,0,1486162,0
720,WEST BENGAL,PASCHIM BARDDHAMAN,1348,159165,0,159165,19547,123,242,384,3873,,24168,24168,2212,21956,5001,4247,2603,11851,54,6620,9249,289264,0,311220,0,311220,0
721,WEST BENGAL,PASCHIM MEDINIPUR,1536,631677,0,631677,187943,822,1595,42520,7728,152,240759,240759,22426,218333,11994,1260,103186,116440,53,14391,99760,1223799,0,1442132,0,1442132,0
722,WEST BENGAL,PURBA BARDDHAMAN,1348,543269,0,543269,149074,3110,1907,34235,13928,53,202308,202308,18695,183613,11477,850,83940,96268,52,13616,86753,1155903,0,1339516,0,1339516,0
723,WEST BENGAL,PURBA MEDINIPUR,1670,380995,0,380995,56117,0,149,6286,4507,11,67069,67069,6707,60362,4897,21,17103,22021,36,6779,36459,342286,0,402648,0,402648,0
724,WEST BENGAL,PURULIYA,1363,619313,0,619313,39247,0,5100,898,13302,501,59048,59048,5905,53143,7317,140,2001,9458,18,9387,41614,132774,0,185917,0,185917,0
725,WEST BENGAL,SOUTH 24 PARGANAS,1624,551301,0,551301,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,WEST BENGAL,UTTAR DINAJPUR,1922,319283,0,319283,95051,417,554,19541,5638,188,121389,121389,10362,111027,8277,312,43425,52014,47,11304,55986,2382416,0,2493443,0,2493443,0
Total,,,1055,246428184,45720648,292148832,27817058,4315389,6302292,5966484,1354397,1413681,47222579,46830798,3898199,42936738,2810004,423465,22191865,25425334,61,3633358,18612779,124721719,2927777,165500869,5202640,165500869,5202640
