S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
582,TAMILNADU,VILLUPURAM,1043,377228,1941,379169,44076,248,11633,28391,6298,13803,104449,104449,9976,94473,1130,53,79432,80616,85,3527,15719,0,0,94473,0,94473,0
583,TAMILNADU,VIRUDHUNAGAR,778,400189,32752,432941,13063,5271,18346,8236,2715,10273,57903,57903,5713,52190,434,1857,31278,33570,64,1816,18955,0,0,52190,0,52190,0
584,TELANGANA,Adilabad,1267,380949,34352,415300,31173,76,2137,4065,373,18522,56345,56345,5325,51020,3169,311,17137,20617,40,3845,30401,0,0,51101,0,51101,0
585,TELANGANA,Bhadradri Kothagudem,1188,710843,37391,748235,66665,603,32861,7716,1639,2304,111788,111788,10680,101107,4384,3613,25309,33306,33,4871,70377,0,0,104138,0,104138,0
586,TELANGANA,Hanumakonda,989,160485,6937,167422,13964,584,21261,9951,4933,2693,53387,53387,5206,48181,1704,984,26635,29322,61,1704,20017,0,0,48633,0,48633,0
587,TELANGANA,Hyderabad,828,21782,0,21782,1267,,,0,400,69,6783,6783,617,6166,5646,416,0,6062,98,5962,1058,71828,0,77994,0,77994,0
588,TELANGANA,Jagtial,1014,266715,31764,298479,20811,4827,40384,9956,930,637,77546,77546,7491,70055,300,596,24242,25138,36,2217,43025,0,0,70070,0,70070,0
589,TELANGANA,Jangaon,894,160821,3314,164135,13509,148,7386,6162,3103,1012,31320,31320,2634,28686,1120,460,15606,17187,60,1339,11314,0,0,28686,0,28686,0
590,TELANGANA,Jayashankar Bhupalapally,1067,230520,5781,236301,26485,177,6053,4795,14258,394,52162,52162,4950,47212,1389,1098,17722,20210,43,1434,27422,0,0,47324,0,47324,0
591,TELANGANA,Jogulamba Gadwal,578,260369,672,261041,12965,4333,25139,2394,2058,2079,48969,48969,4630,44339,388,143,12770,13302,30,680,31383,0,0,59781,0,59781,0
592,TELANGANA,Kamareddy,1000,348832,17846,366677,33804,146,22811,10553,1956,2765,72036,72036,6841,65195,1023,637,31394,33054,51,2303,37052,129927,0,207920,0,207920,0
593,TELANGANA,Karimnagar,905,206696,4286,210982,16878,717,64178,9588,1881,565,93807,93807,9156,84651,3110,1584,23508,28202,33,3391,56886,0,0,84855,0,84855,0
594,TELANGANA,Khammam,1037,428159,7969,436128,36939,1928,62046,14089,2546,659,118207,118207,11260,106947,3989,1365,40332,45686,43,4619,62601,0,0,106947,0,106947,0
595,TELANGANA,Komarambheem Asifabad,1135,376816,52728,429544,33377,7764,11072,4786,2533,3042,62575,62575,5784,56791,376,442,11077,11896,21,837,44548,0,0,58669,0,58669,0
596,TELANGANA,Mahabubabad,1548,334459,9112,343571,36463,664,18639,11349,2260,1766,71141,71141,6891,64250,1385,1572,33306,36264,56,1794,28347,0,0,64250,0,64250,0
597,TELANGANA,Mahabubnagar,649,254263,11087,265351,12663,0,1468,6839,6546,8841,36357,36357,3298,33058,558,780,23841,25180,76,955,9347,0,0,33058,0,33058,0
598,TELANGANA,Mancherial,1046,398325,12201,410526,35363,3267,3746,16215,28087,10362,97041,97041,8782,88258,488,2122,34303,36913,42,506,47683,0,0,92140,0,92140,0
599,TELANGANA,Medak,841,254557,20573,275130,21103,1208,6207,7994,9875,8413,54801,54801,5303,49497,1370,1332,31724,34426,70,1937,16488,0,0,49497,0,49497,0
600,TELANGANA,Medchal Malkajgiri,768,103807,4906,108713,6696,,1,1572,1840,689,10797,10797,1060,9737,1337,1715,4126,7178,74,5288,3250,215570,0,225307,0,225307,0
601,TELANGANA,Mulug,1375,283731,18911,302641,29216,551,18144,5256,2113,5123,60403,60403,5753,54650,548,104,13152,13805,25,858,37986,0,0,54655,0,54655,0
602,TELANGANA,Nagarkurnool,663,613222,22619,635841,35325,15313,20269,11041,7722,6815,96486,96486,9009,87476,1569,415,33075,35059,40,1596,53375,244402,0,332294,0,332294,0
603,TELANGANA,Nalgonda,697,704673,7430,712103,42843,2040,64729,20988,1090,10181,141870,141870,13623,128247,5280,4383,53491,63154,49,5280,69253,372219,0,506083,0,506083,0
604,TELANGANA,Narayanpet,610,231811,0,231811,13721,299,12130,4451,1671,1449,33721,33721,3185,30535,225,468,11063,11755,38,1305,18108,0,0,31424,0,31424,0
605,TELANGANA,Nirmal,1055,326437,36392,362829,29422,1558,23617,7063,4293,9235,75189,75189,7028,68161,1155,642,23772,25569,38,1531,42572,0,0,69236,0,69236,0
606,TELANGANA,Nizamabad,979,403650,14719,418369,36170,267,45207,17350,3087,360,102441,102441,9727,92715,1670,406,50018,52094,56,2188,38969,347850,0,440629,0,440629,0
607,TELANGANA,Peddapalle,1014,194064,22755,216819,16354,1240,24402,7492,767,1943,52199,52199,4966,47233,1253,1663,19274,22190,47,1935,25176,0,0,58589,0,58589,0
608,TELANGANA,Rajanna Siricilla,888,173139,17243,190382,14551,,10815,11485,6118,2659,45628,45628,4219,41408,118,1094,27564,28776,69,249,13249,0,0,41408,0,41408,0
